id,english,turkish,image_file,audio_en_file,audio_tr_file
1,hello,merhaba,001.webp,ing_001.mp3,tr_001.mp3
2,hi,selam,hi.png,ing_002.mp3,tr_002.mp3
3,I,ben,I.png,ing_003.mp3,tr_003.mp3
4,am,olmak,004.webp,ing_004.mp3,tr_004.mp3
5,you,sen,you.png,ing_005.mp3,tr_005.mp3
6,want,istemek,want.png,ing_006.mp3,tr_006.mp3
7,water,su,water.png,ing_007.mp3,tr_007.mp3
8,food,yiyecek,food.png,ing_008.mp3,tr_008.mp3
9,yes,evet,yes.png,ing_009.mp3,tr_009.mp3
10,no,hayır,no.png,ing_010.mp3,tr_010.mp3
11,please,lütfen,please.png,ing_011.mp3,tr_011.mp3
12,not,değil,not.png,ing_012.mp3,tr_012.mp3
13,me,bana,me.png,ing_013.mp3,tr_013.mp3
14,this,bu,this.png,ing_014.mp3,tr_014.mp3
15,what,ne,015.webp,ing_015.mp3,tr_015.mp3
16,give,vermek,give.png,ing_016.mp3,tr_016.mp3
17,take,almak,take.png,ing_017.mp3,tr_017.mp3
18,thanks,teşekkürler,018.webp,ing_018.mp3,tr_018.mp3
19,don't,yapma,019.webp,ing_019.mp3,tr_019.mp3
20,go,gitmek,go.png,ing_020.mp3,tr_020.mp3
21,to,ye/ya (yönelme),to.png,ing_021.mp3,tr_021.mp3
22,home,ev,home.png,ing_022.mp3,tr_022.mp3
23,come,gelmek,come.png,ing_023.mp3,tr_023.mp3
24,here,burada,here.png,ing_024.mp3,tr_024.mp3
25,where,nerede,where.png,ing_025.mp3,tr_025.mp3
26,there,orada,there.png,ing_026.mp3,tr_026.mp3
27,stay,kalmak,stay.png,ing_027.mp3,tr_027.mp3
28,house,ev,house.png,ing_028.mp3,tr_028.mp3
29,bed,yatak,bed.png,ing_029.mp3,tr_029.mp3
30,sleep,uyumak,sleep.png,ing_030.mp3,tr_030.mp3
31,tired,yorgun,031.webp,ing_031.mp3,tr_031.mp3
32,open,açık,open.png,ing_032.mp3,tr_032.mp3
33,the,bilinen (tanımlık),the.png,ing_033.mp3,tr_033.mp3
34,door,kapı,door.png,ing_034.mp3,tr_034.mp3
35,close,kapatmak,035.webp,ing_035.mp3,tr_035.mp3
36,window,pencere,window.png,ing_036.mp3,tr_036.mp3
37,my,benim,my.png,ing_037.mp3,tr_037.mp3
38,bag,çanta,bag.png,ing_038.mp3,tr_038.mp3
39,dog,köpek,dog.png,ing_039.mp3,tr_039.mp3
40,cat,kedi,cat.png,ing_040.mp3,tr_040.mp3
41,rabbit,tavşan,rabbit.png,ing_041.mp3,tr_041.mp3
42,man,adam,man.png,ing_042.mp3,tr_042.mp3
43,woman,kadın,woman.png,ing_043.mp3,tr_043.mp3
44,boy,erkek çocuk,boy.png,ing_044.mp3,tr_044.mp3
45,girl,kız çocuk,045.webp,ing_045.mp3,tr_045.mp3
46,who,kim,046.webp,ing_046.mp3,tr_046.mp3
47,he,o (erkek),he.png,ing_047.mp3,tr_047.mp3
48,she,o (kadın),she.png,ing_048.mp3,tr_048.mp3
49,it,o (cansız/hayvan),it.png,ing_049.mp3,tr_049.mp3
50,is,dır/dir,050.webp,ing_050.mp3,tr_050.mp3
51,mine,benimki,mine.png,ing_051.mp3,tr_051.mp3
52,we,biz,we.png,ing_052.mp3,tr_052.mp3
53,they,onlar,they.png,ing_053.mp3,tr_053.mp3
54,are,olmak (are),are.png,ing_054.mp3,tr_054.mp3
55,good,iyi,good.png,ing_055.mp3,tr_055.mp3
56,bad,kötü,056.webp,ing_056.mp3,tr_056.mp3
57,very,çok,very.png,ing_057.mp3,tr_057.mp3
58,big,büyük,big.png,ing_058.mp3,tr_058.mp3
59,small,küçük,small.png,ing_059.mp3,tr_059.mp3
60,red,kırmızı,red.png,ing_060.mp3,tr_060.mp3
61,blue,mavi,blue.png,ing_061.mp3,tr_061.mp3
62,green,yeşil,green.png,ing_062.mp3,tr_062.mp3
63,a,bir,063.webp,ing_063.mp3,tr_063.mp3
64,book,kitap,book.png,ing_064.mp3,tr_064.mp3
65,pen,kalem,pen.png,ing_065.mp3,tr_065.mp3
66,paper,kağıt,paper.png,ing_066.mp3,tr_066.mp3
67,notebook,defter,notebook.png,ing_067.mp3,tr_067.mp3
68,read,okumak,read.png,ing_068.mp3,tr_068.mp3
69,write,yazmak,write.png,ing_069.mp3,tr_069.mp3
70,look,bakmak,look.png,ing_070.mp3,tr_070.mp3
71,see,görmek,see.png,ing_071.mp3,tr_071.mp3
