order,english,turkish,image_file,audio_en_file,audio_tr_file
1,I,ben,001.jpg,ing_001.mp3,tr_001.mp3
2,am,ben,002.png,ing_002.mp3,tr_002.mp3
3,here,burada,003.jpg,ing_003.mp3,tr_003.mp3
4,man,adam,004.jpeg,ing_004.mp3,tr_004.mp3
5,this,bu,005.jpg,ing_005.mp3,tr_005.mp3
6,see,görmek,006.jpg,ing_006.mp3,tr_006.mp3
7,a,a,007.jpg,ing_007.mp3,tr_007.mp3
8,house,ev,008.jpg,ing_008.mp3,tr_008.mp3
9,is,öyle,009.jpg,ing_009.mp3,tr_009.mp3
10,good,iyi,010.jpg,ing_010.mp3,tr_010.mp3
11,you,sen,011.jpg,ing_011.mp3,tr_011.mp3
12,door,kapı,012.jpg,ing_012.mp3,tr_012.mp3
13,have,sahip olmak,013.png,ing_013.mp3,tr_013.mp3
14,my,benim,014.png,ing_014.mp3,tr_014.mp3
15,small,küçük,015.webp,ing_015.mp3,tr_015.mp3
16,woman,kadın,016.jpg,ing_016.mp3,tr_016.mp3
17,that,o,017.png,ing_017.mp3,tr_017.mp3
18,in,içinde,018.jpg,ing_018.mp3,tr_018.mp3
19,room,oda,019.jpg,ing_019.mp3,tr_019.mp3
20,big,büyük,020.jpg,ing_020.mp3,tr_020.mp3
21,he,o,021.jpg,ing_021.mp3,tr_021.mp3
22,table,masa,022.jpg,ing_022.mp3,tr_022.mp3
23,like,beğenmek,023.png,ing_023.mp3,tr_023.mp3
24,the,the,024.jpg,ing_024.mp3,tr_024.mp3
25,new,yeni,025.jpg,ing_025.mp3,tr_025.mp3
26,she,o,026.jpg,ing_026.mp3,tr_026.mp3
27,chair,sandalye,027.jpg,ing_027.mp3,tr_027.mp3
28,want,istek,028.jpg,ing_028.mp3,tr_028.mp3
29,on,açık,029.jpeg,ing_029.mp3,tr_029.mp3
30,old,eskimiş,030.jpg,ing_030.mp3,tr_030.mp3
31,child,çocuk,031.webp,ing_031.mp3,tr_031.mp3
32,go,gitmek,032.jpg,ing_032.mp3,tr_032.mp3
33,there,orası,033.jpg,ing_033.mp3,tr_033.mp3
34,with,ile,034.jpg,ing_034.mp3,tr_034.mp3
35,bad,kötü,035.jpg,ing_035.mp3,tr_035.mp3
36,person,kişi,036.jpg,ing_036.mp3,tr_036.mp3
37,come,gelmek,037.webp,ing_037.mp3,tr_037.mp3
38,where,neresi,038.png,ing_038.mp3,tr_038.mp3
39,and,ve,039.jpeg,ing_039.mp3,tr_039.mp3
40,one,bir,040.jpg,ing_040.mp3,tr_040.mp3
41,we,biz,041.png,ing_041.mp3,tr_041.mp3
42,street,sokak,042.jpg,ing_042.mp3,tr_042.mp3
43,stand,durmak,043.jpg,ing_043.mp3,tr_043.mp3
44,what,ne,044.png,ing_044.mp3,tr_044.mp3
45,two,iki,045.png,ing_045.mp3,tr_045.mp3
